condition,family,frontier_inclusion_pct,boot_pr_2.5,boot_pr_97.5,boot_cost_2.5,boot_cost_97.5
C0,baseline,100.0,0.4469,0.5887,0.0315,0.0452
C1,review-heavy,10.5,0.6047,0.8208,0.0533,0.0744
C2,debate,90.4,0.5907,0.8013,0.0440,0.0662
C3,gen-only,39.2,0.5113,0.7551,0.0480,0.0640
C4,iterative,16.5,0.5469,0.7496,0.0459,0.0689
C5,review-heavy,0.0,0.5613,0.7636,0.1308,0.1562
C6,gen-only,4.1,0.5680,0.8078,0.0816,0.1071
C7,hybrid,34.3,0.6378,0.8447,0.0737,0.1071
C8,review-heavy,18.8,0.6300,0.8269,0.0554,0.0783
C9,debate,72.8,0.6440,0.8433,0.0472,0.0703
C10,iterative,29.0,0.6109,0.8156,0.0483,0.0704
C11,gen-only,1.2,0.6187,0.8398,0.1385,0.1880
C12,iterative,13.9,0.6036,0.8127,0.0507,0.0786
C13,hybrid,99.5,0.7433,0.9402,0.1205,0.1636
C14,iterative,0.0,0.5764,0.7920,0.1864,0.2378
C15,debate,45.9,0.6329,0.8340,0.0482,0.0711
C16,gen-only,21.9,0.7240,0.9191,0.1907,0.2555
